task,model,missing_level,main_metric_mean,baseline_main_metric_mean,absolute_drop,relative_drop_percent
har,cfc,0.0,0.9382379654859219,0.9382379654859219,0.0,0.0
har,cfc,0.3,0.9327883742052681,0.9382379654859219,0.005449591280653809,0.5808325266214758
har,cfc,0.6,0.8919164396003633,0.9382379654859219,0.0463215258855586,4.937076476282673
har,lstm,0.0,0.9545867393278837,0.9545867393278837,0.0,0.0
har,lstm,0.3,0.9255222524977293,0.9545867393278837,0.02906448683015439,3.0447193149381526
har,lstm,0.6,0.885558583106267,0.9545867393278837,0.06902815622161673,7.231208372978118
har,ltc,0.0,0.8955495004541326,0.8955495004541326,0.0,0.0
har,ltc,0.3,0.8446866485013623,0.8955495004541326,0.050862851952770294,5.679513184584188
har,ltc,0.6,0.7493188010899182,0.8955495004541326,0.1462306993642144,16.32860040567952
physionet,cfc,0.0,0.786542689131769,0.786542689131769,0.0,0.0
physionet,cfc,0.3,0.732174345350454,0.786542689131769,0.05436834378131494,6.912319513303194
physionet,cfc,0.6,0.7334482999697048,0.786542689131769,0.053094389162064104,6.750350603432948
physionet,lstm,0.0,0.8100020973643122,0.8100020973643122,0.0,0.0
physionet,lstm,0.3,0.7811439180318955,0.8100020973643122,0.028858179332416634,3.562728964075408
physionet,lstm,0.6,0.7663846876869179,0.8100020973643122,0.04361740967739425,5.3848514490668755
physionet,ltc,0.0,0.7452789882936001,0.7452789882936001,0.0,0.0
physionet,ltc,0.3,0.7320034489990911,0.7452789882936001,0.013275539294508976,1.7812845260678574
physionet,ltc,0.6,0.7059650594641623,0.7452789882936001,0.03931392882943774,5.275062016635058
