task,missing_level,model,n,main_metric_mean,main_metric_std,test_accuracy_mean,test_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_auroc_mean,test_auroc_std,train_time_sec_mean,train_time_sec_std,test_infer_ms_per_sample_mean,test_infer_ms_per_sample_std,n_params_mean,n_params_std,best_epoch_mean,best_epoch_std
har,0.0,cfc,3,0.9382379654859219,0.006857251984805328,0.9382379654859219,0.006857251984805328,0.9375667166394624,0.007348158808421568,0.9380370215716765,0.007188879808295144,,,9.669174825345786,0.07912666986041407,0.08388910617900976,0.009089414781987286,185350.0,0.0,11.333333333333334,4.163331998932265
har,0.0,lstm,3,0.9545867393278837,0.008324388183389477,0.9545867393278837,0.008324388183389477,0.9521366437776958,0.008614581160530942,0.9527065161965296,0.008757199371648837,,,7.624602730968036,0.1268606032931048,0.08513353040507843,0.016713484982873044,304518.0,0.0,11.666666666666666,3.7859388972001824
har,0.0,ltc,3,0.8955495004541326,0.004162194091694691,0.8955495004541326,0.004162194091694691,0.8921409574158891,0.004476640475386002,0.8924783092017748,0.004499430898172379,,,443.010016774002,16.085147274334552,2.9742882706391565,0.3322952413431769,306570.0,0.0,47.0,1.0
har,0.3,cfc,3,0.9327883742052681,0.009569167804589204,0.9327883742052681,0.009569167804589204,0.9313232557768076,0.009288770492884289,0.9323547297834219,0.00902907736430357,,,9.669748862662042,0.2661762585076771,0.09040288919190466,0.013901178820194277,185350.0,0.0,13.0,2.6457513110645907
har,0.3,lstm,3,0.9255222524977293,0.00956916780458931,0.9255222524977293,0.00956916780458931,0.9224138209367035,0.009692209417931214,0.923053213127334,0.009332641435340882,,,7.482282528653741,0.20085021756429158,0.07687997274679363,0.002710080176203974,304518.0,0.0,9.666666666666666,1.5275252316519468
har,0.3,ltc,3,0.8446866485013623,0.023597422446442497,0.8446866485013623,0.023597422446442497,0.8415711015608557,0.022709223839314657,0.8407882129095898,0.02365348672390361,,,457.8276843539982,21.533293889419355,3.084512118964484,0.16628146604333757,306570.0,0.0,42.666666666666664,3.785938897200183
har,0.6,cfc,3,0.8919164396003633,0.008758992516796448,0.8919164396003633,0.008758992516796448,0.8895519104706263,0.008129987358895741,0.8904261659086449,0.008240552025574723,,,9.60835070333754,0.12520816321338446,0.0834381289240463,0.010871691763949922,185350.0,0.0,17.666666666666668,6.110100926607786
har,0.6,lstm,3,0.885558583106267,0.00544959128065392,0.885558583106267,0.00544959128065392,0.8813697260162424,0.006073573205461644,0.8818797631040458,0.006393538616156073,,,7.47041522298241,0.059082773479154214,0.07902227435599361,0.00602454987334911,304518.0,0.0,9.0,1.0
har,0.6,ltc,3,0.7493188010899182,0.012486582275084049,0.7493188010899182,0.012486582275084049,0.7461105843534123,0.013287531768152354,0.7401560210999998,0.014668709282615213,,,461.2582361473275,6.33584078870046,3.0327756512427126,0.3055602629051467,306570.0,0.0,37.333333333333336,3.055050463303893
physionet,0.0,cfc,3,0.786542689131769,0.015847615035697638,0.8594444444444443,0.010715167512214413,0.5762508447717368,0.03308738234249917,0.5931331582166733,0.04417940857916088,0.786542689131769,0.015847615035697638,196.18400818299656,3.4032753442033004,0.441712800012384,0.020287202165625594,57218.0,0.0,3.3333333333333335,0.5773502691896258
physionet,0.0,lstm,3,0.8100020973643122,0.011055480610939123,0.875,0.006009252125773346,0.5835916198643705,0.003643992354600839,0.6085671811103563,0.005391023818848078,0.8100020973643122,0.011055480610939123,128.5253301456687,6.840895300459573,0.17044274776708332,0.01026424015871014,48514.0,0.0,9.333333333333334,1.5275252316519468
physionet,0.0,ltc,3,0.7452789882936001,0.011894686787724353,0.8661111111111112,0.006735753140545621,0.5598914031367248,0.02552679231761582,0.571451662499283,0.040056089579570076,0.7452789882936001,0.011894686787724353,3379.504087889994,238.55020545015924,4.091736887219466,0.35755615533961016,48568.0,0.0,49.333333333333336,0.5773502691896258
physionet,0.3,cfc,3,0.732174345350454,0.054472728882344404,0.8533333333333332,0.015898986690282405,0.5558481508237981,0.0012488339003484704,0.5662613681968173,0.0016565032850970164,0.732174345350454,0.054472728882344404,193.997519340987,5.021824857555542,0.4619798916974105,0.021011781259151464,57218.0,0.0,4.333333333333333,1.5275252316519465
physionet,0.3,lstm,3,0.7811439180318955,0.007411175774733467,0.861111111111111,0.011706281947614146,0.5923888979515742,0.054285662918575485,0.6050609624251647,0.051773706884670034,0.7811439180318955,0.007411175774733467,132.93204013766567,2.1658107043224732,0.18267678281214705,0.01413764943187263,48514.0,0.0,10.333333333333334,4.163331998932265
physionet,0.3,ltc,3,0.7320034489990911,0.02438087936255932,0.8583333333333333,0.0060092521257732855,0.531778953337528,0.0024518121510125742,0.5291570996184385,0.0036157983731301456,0.7320034489990911,0.02438087936255932,3153.4235732183247,49.09746105429474,4.026556729416673,0.4220859286294819,48568.0,0.0,35.666666666666664,14.502873278538061
physionet,0.6,cfc,3,0.7334482999697048,0.02895044717280647,0.8583333333333334,0.007264831572567791,0.5182936776118012,0.009181299505520752,0.5030183110328238,0.020718942188526445,0.7334482999697048,0.02895044717280647,193.88606430332098,2.472212677967679,0.457418958346049,0.03886154978745315,57218.0,0.0,4.0,1.7320508075688772
physionet,0.6,lstm,3,0.7663846876869179,0.036152761099506686,0.8466666666666667,0.025980762113533184,0.57220759245881,0.045065372735014195,0.5761545278027161,0.06076930694154534,0.7663846876869179,0.036152761099506686,130.85248207200007,7.313586958350379,0.17546978610981664,0.009903009070405533,48514.0,0.0,15.333333333333334,12.741009902410928
physionet,0.6,ltc,3,0.7059650594641623,0.017576047243344627,0.8622222222222221,0.0034694433324435722,0.5323499025113995,0.014719067695865477,0.5276425634406697,0.027588441107693047,0.7059650594641623,0.017576047243344627,3190.400887033999,30.208861578252787,4.138139763316658,0.25382879040404166,48568.0,0.0,35.0,14.52583904633395
